Registration Year,Insurance,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Drive Type,Mileage,Engine Type,Max_Power_clean,Max_Power_RPM,Max_Torque_Nm,Max_Torque_RPM,Valves Per Cylinder,Fuel Supply System,Turbo Charger,Transmission Type,Gearbox,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Front Suspension,Rear Suspension,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Ground Clearance Unladen,Wheel Base,Gross Weight,Price,Top Speed,Volume
2021.0,Zero Dep,5.0,25000,1,1998,Automatic,FWD,14.82,Turbocharged,257.47,6000.0,280.0,4600.0,4.0,MPFi,Twin,Automatic,7.0,14.82,51.0,BS VI,Standard/Other,Standard/Other,Power,Tilt and Telescopic,Ventilated Disc,Ventilated Disc,165.0,2670.0,Unknown,1200000.0,226,14638990360.0
2024.0,Zero Dep,5.0,6000,1,1451,Automatic,FWD,12.34,Turbocharged,141.04,5000.0,250.0,3600.0,4.0,Direct Injection,Yes,Automatic,6.0,12.34,60.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt and Telescopic,Solid Disc,Solid Disc,160.0,2750.0,Unknown,1791000.0,Unknown,15175890400.0
2022.0,Unknown,5.0,35327,1,998,Automatic,FWD,17.0,Turbocharged,118.41,6000.0,172.0,4000.0,4.0,CRDi,No,Automatic,7.0,17.0,45.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Solid Disc,165.0,2500.0,Unknown,1775000.0,Unknown,11434049550.0
2016.0,Unknown,5.0,26200,1,1197,Automatic,FWD,18.19,Standard,103.2,5000.0,175.0,4100.0,4.0,Direct Injection,Yes,Automatic,7.0,18.19,55.0,BS IV,MacPherson Strut,Trailing Arm,Power,Tilt and Telescopic,Ventilated Disc,Drum,163.0,2553.0,1720.0,994999.0,185,10941780870.0
2020.0,Comprehensive,5.0,69000,1,1462,Automatic,FWD,18.76,Standard,103.26,6000.0,138.0,4400.0,4.0,MPFi,No,Automatic,4.0,18.76,48.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Ventilated Disc,Drum,165.0,2500.0,1600.0,565000.0,Unknown,11727722000.0
2020.0,Comprehensive,7.0,28466,2,999,Manual,FWD,20.0,Standard,71.01,6250.0,96.0,3500.0,4.0,MPFi,No,Manual,5.0,20.0,40.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,182.0,2755.0,Unknown,1791000.0,140,11400136230.0
2023.0,Unknown,5.0,40000,1,1199,Manual,FWD,19.33,Standard,86.83,6000.0,113.0,3300.0,4.0,MPFi,No,Manual,5.0,19.33,35.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Electric,Tilt Only,Solid Disc,Drum,165.0,2501.0,Unknown,426000.0,Unknown,10664731350.0
2023.0,Unknown,7.0,60000,1,1197,Manual,RWD,19.71,Standard,79.65,6000.0,104.4,3000.0,4.0,Direct Injection,Yes,Manual,5.0,19.71,32.0,BS VI 2.0,MacPherson Strut,Torsion/Twist Beam,Power,Fixed,Solid Disc,Drum,180.0,2350.0,Unknown,600000.0,146,9892640625.0
2019.0,Unknown,5.0,120000,1,1197,Automatic,FWD,21.5,Standard,81.8,6000.0,113.0,4200.0,4.0,MPFi,No,Automatic,5.0,21.5,32.0,BS VI,MacPherson Strut,Torsion/Twist Beam,Power,Tilt Only,Solid Disc,Drum,160.0,2435.0,1340.0,540000.0,Unknown,9917842500.0
2013.0,Third Party,7.0,152000,2,1196,Manual,RWD,15.37,In-Line,73.0,6000.0,101.0,3000.0,4.0,MPFi,No,Manual,5.0,15.37,40.0,BS IV,MacPherson Strut,Leaf Spring/Rigid Axle,Manual,Fixed,Ventilated Disc,Drum,160.0,2350.0,1540.0,380000.0,145,9757125000.0
