,car_name,Price,Registration Year,Kms Driven,Ownership,Fuel,Transmission,Drive Type,Engine,Power,Mileage,No. of Cylinders,Turbo Charger,Seats,Kerb Weight,Ground Clearance Unladen,Petrol Fuel Tank Capacity,Diesel Fuel Tank Capacity,CNG Fuel Tank Capacity
1045,Hyundai Verna,₹5.50 Lakh,2017,"30,000 Kms",Second Owner,Petrol,Manual,FWD,1591 cc,121.3 bhp,17.01 kmpl,4.0,No,5 Seats,,165 mm,43 Litres,,
1046,Maruti Suzuki Swift Dzire,₹4.20 Lakh,2016,"1,60,000 Kms",First Owner,Diesel,Manual,FWD,1248 cc,74 bhp,26.59 kmpl,4.0,Yes,5 Seats,1055 kg,170 mm,,42 Litres,
1047,Maruti Suzuki Ignis,₹4 Lakh,2017,"36,500 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.80 bhp,20.89 kmpl,4.0,No,5 Seats,835 kg,180 mm,32 Litres,,
1048,Hyundai i20,₹3.50 Lakh,2013,"1,00,000 Kms",First Owner,Diesel,Manual,FWD,1396 cc,88.76 bhp,21.9 kmpl,4.0,No,5 Seats,1120 kg,,,45 Litres,
1049,Maruti Suzuki Wagon R,₹3.60 Lakh,2019,"60,000 Kms",Second Owner,Petrol,Automatic,FWD,998 cc,67 bhp,20.51 kmpl,3.0,No,5 Seats,895 kg,165 mm,35 Litres,,
1050,Honda City,₹4.50 Lakh,2016,"1,60,000 Kms",Second Owner,Diesel,Manual,FWD,1498 cc,98.6 bhp,26 kmpl,4.0,Yes,5 Seats,1125 kg,165 mm,,40 Litres,
1051,46+ used cars for sale from ₹2 Lakh in Ahmedabad,,,,,,,,,,,,,,,,,,
1052,Jeep Compass,₹7.50 Lakh,2019,"60,000 Kms",Second Owner,,Manual,4X2,1956 cc,170 bhp,17.1 kmpl,4.0,Yes,5 Seats,1551 s kg,178 mm,,60 Litres,
1053,Skoda Slavia,₹10 Lakh,2023,"30,000 Kms",First Owner,Petrol,Manual,FWD,999 cc,113.98 bhp,19 kmpl,3.0,Yes,5 Seats,1160-1216 kg,145 mm,45 Litres,,
1054,Tata Tigor,₹6.90 Lakh,2022,"80,000 Kms",First Owner,Petrol,Manual,,1199 cc,84.82 bhp,19.28 kmpl,3.0,,5 Seats,1030 kg,,35 Litres,,
1055,Jeep Compass,₹8 Lakh,2018,"1,11,000 Kms",First Owner,,Manual,4X2,1956 cc,170 bhp,17.1 kmpl,4.0,Yes,5 Seats,1562 s kg,178 mm,,60 Litres,
1056,MG Hector,₹20.50 Lakh,2024,"13,000 Kms",First Owner,Petrol,Automatic,FWD,1451 cc,141.04 bhp,12.34 kmpl,4.0,Yes,5 Seats,,,60 Litres,,
1057,MG Hector Plus,₹9.50 Lakh,2020,"70,000 Kms",First Owner,Petrol,Automatic,,1451 cc,141 bhp,11.67 kmpl,4.0,YES,6 Seats,1820 kg,,60 Litres,,
1058,Honda Brio,₹2 Lakh,2013,"88,000 Kms",Third Owner,Petrol,Manual,FWD,1198 cc,86.8 bhp,19.4 kmpl,4.0,No,5 Seats,925 kg,165 mm,35 Litres,,
1059,Toyota Yaris,₹6 Lakh,2018,"50,000 Kms",First Owner,Petrol,Automatic,FWD,1496 cc,105.5 bhp,17.8 kmpl,4.0,No,5 Seats,1135 kg,,42 Litres,,
1060,Maruti Suzuki S Cross,₹5.71 Lakh,2018,"83,000 Kms",First Owner,,Manual,FWD,1248 cc,88.5 bhp,25.1 kmpl,4.0,Yes,5 Seats,1230 kg,180 mm,,48 Litres,
1061,Toyota Fortuner,₹25.50 Lakh,Jan 2023,"56,000 Kms",First Owner,Petrol,Manual,2WD,2694 cc,163.60 bhp,11 kmpl,4.0,No,7 Seats,,,80 Litres,,
1062,Ford Endeavour,₹22 Lakh,2020,"1,20,000 Kms",Second Owner,Diesel,Automatic,RWD,2198 cc,158.2 bhp,14.2 kmpl,4.0,No,7 Seats,2238 kg,,,80 Litres,
1063,Hyundai Grand i10,₹3.72 Lakh,Mar 2017,"40,710 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
1064,BMW X3,₹38.50 Lakh,2021,"60,000 Kms",Second Owner,Diesel,Automatic,AWD,1995 cc,187.7 bhp,,4.0,Yes,5 Seats,1690 kg,211 mm,,60 Litres,
1065,Skoda Slavia,₹13.35 Lakh,2025,"7,831 Kms",First Owner,Petrol,Manual,FWD,999 cc,114 bhp,20.32 kmpl,3.0,,5 Seats,1160-1216 kg,179 mm,45 Litres,,
1066,1.4 CRDi S,₹6.80 Lakh,2016,"1,20,000 Kms",First Owner,,Manual,FWD,1396 cc,88.7 bhp,21.38 kmpl,4.0,No,5 Seats,1240 kg,190 mm,,55 Litres,
1067,1.2 Kappa Sportz BSIV,₹3.72 Lakh,Mar 2017,"40,710 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
1068,1.2 Kappa Sportz BSIV,₹4.21 Lakh,Mar 2017,"64,322 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1120 kg,165 mm,43 Litres,,
1069,Sportz,₹3.45 Lakh,Mar 2016,"72,000 Kms",First Owner,Petrol,Manual,FWD,1197 cc,82 bhp,18.9 kmpl,4.0,No,5 Seats,935 kg,165 mm,43 Litres,,
1070,1.2,₹6.30 Lakh,2022,"80,000 Kms",First Owner,Diesel,Manual,RWD,2523 cc,65.03 bhp,17.2 kmpl,4.0,,2 Seats,1620 kg,,,45 Litres,
1071,4X2,₹25.50 Lakh,Jan 2023,"56,000 Kms",First Owner,Petrol,Manual,2WD,2694 cc,163.60 bhp,11 kmpl,4.0,No,7 Seats,,,80 Litres,,
1072,1.2 Kappa Magna BSIV,₹3.84 Lakh,Jul 2016,"67,763 Kms",First Owner,Petrol,Manual,FWD,1197 cc,81.86 bhp,18.9 kmpl,4.0,No,5 Seats,1100 kg,165 mm,43 Litres,,
1073,Era,₹3.75 Lakh,Nov 2016,"91,000 Kms",First Owner,Petrol,Manual,FWD,1086 cc,68.05 bhp,19.81 kmpl,4.0,No,5 Seats,860 kg,165 mm,35 Litres,,
